R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_Stance,R_DOB,SLpM_x,Str_Acc_x,SApM_x,Str_Def_x,TD_Avg_x,TD_Acc_x,TD_Def_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,B_Stance,B_DOB,SLpM_y,Str_Acc_y,SApM_y,Str_Def_y,TD_Avg_y,TD_Acc_y,TD_Def_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms
Adrian Yanez,Gustavo Lopez,2,0,41 of 103,23 of 51,39%,45%,41 of 103,23 of 51,0 of 0,0 of 1,---,0%,0,0,0,0,0:03,0:00,32 of 83,14 of 40,8 of 19,5 of 7,1 of 1,4 of 4,41 of 102,23 of 51,0 of 0,0 of 0,0 of 1,0 of 0,KO/TKO,3,0:27,3 Rnd (5-5-5),Chris Tognoni,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,Orthodox,"Nov 29, 1993",4.69,44%,2.31,55%,0.0,0%,100%,0.0,170.18,135.0,177.8,Orthodox,"Jun 27, 1989",2.24,41%,4.65,51%,1.07,50%,27%,0.5,165.1,135.0,170.18
Trevin Giles,Roman Dolidze,0,0,27 of 57,32 of 67,47%,47%,43 of 73,75 of 110,1 of 2,1 of 3,50%,33%,1,2,0,1,1:15,4:15,22 of 51,10 of 37,4 of 4,7 of 14,1 of 2,15 of 16,15 of 42,28 of 59,4 of 5,3 of 6,8 of 10,1 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,Orthodox,"Aug 06, 1992",3.26,56%,1.88,62%,1.37,80%,79%,0.3,182.88,185.0,187.96,Orthodox,"Jul 15, 1988",2.98,51%,1.75,61%,1.75,50%,33%,2.2,187.96,205.0,193.04
Tai Tuivasa,Harry Hunsucker,1,0,14 of 18,2 of 6,77%,33%,14 of 18,2 of 6,0 of 0,0 of 0,---,---,0,0,0,0,0:10,0:00,10 of 14,1 of 5,0 of 0,0 of 0,4 of 4,1 of 1,9 of 10,2 of 6,0 of 0,0 of 0,5 of 8,0 of 0,KO/TKO,1,0:49,3 Rnd (5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,Southpaw,"Mar 16, 1993",4.38,50%,3.44,50%,0.0,0%,46%,0.0,187.96,264.0,190.5,Orthodox,"Jan 03, 1989",4.33,51%,8.44,41%,0.0,0%,0%,0.0,187.96,241.0,190.5
Cheyanne Buys,Montserrat Conejo,0,0,31 of 65,15 of 41,47%,36%,49 of 87,136 of 168,0 of 0,4 of 5,---,80%,0,2,3,1,1:04,9:53,26 of 60,10 of 35,5 of 5,0 of 1,0 of 0,5 of 5,26 of 56,15 of 41,2 of 2,0 of 0,3 of 7,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,Switch,"Jun 25, 1995",4.1,53%,1.67,65%,0.0,0%,60%,0.0,160.02,115.0,160.02,Southpaw,"Feb 03, 1993",1.0,36%,2.07,52%,4.0,80%,0%,2.0,152.4,115.0,154.94
Marion Reneau,Macy Chiasson,0,0,30 of 63,51 of 138,47%,36%,59 of 93,92 of 184,2 of 4,1 of 1,50%,100%,0,0,0,1,2:15,3:48,14 of 40,29 of 110,7 of 13,15 of 20,9 of 10,7 of 8,25 of 54,36 of 119,5 of 9,13 of 15,0 of 0,2 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 20, 2021","Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,Orthodox,"Jun 20, 1977",3.29,41%,3.37,61%,0.66,63%,50%,0.8,167.64000000000001,135.0,172.72,Orthodox,"Jul 27, 1991",4.16,49%,2.17,46%,0.98,21%,64%,0.5,180.34,135.0,182.88
Leonardo Santos,Grant Dawson,0,0,30 of 67,46 of 84,44%,54%,74 of 115,75 of 132,1 of 2,1 of 13,50%,7%,0,0,0,0,1:21,8:18,14 of 45,16 of 48,6 of 10,23 of 27,10 of 12,7 of 9,28 of 65,33 of 68,2 of 2,9 of 11,0 of 0,4 of 5,KO/TKO,3,4:59,3 Rnd (5-5-5),Chris Tognoni,"March 20, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,Orthodox,"Feb 05, 1980",2.65,44%,2.77,58%,1.07,29%,89%,0.3,182.88,155.0,190.5,Switch,"Feb 20, 1994",3.4,48%,2.1,51%,3.44,34%,40%,1.6,177.8,145.0,182.88
Song Kenan,Max Griffin,0,1,14 of 24,17 of 28,58%,60%,14 of 24,17 of 28,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:28,5 of 10,11 of 17,5 of 8,2 of 7,4 of 6,4 of 4,14 of 24,16 of 27,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,2:20,3 Rnd (5-5-5),Keith Peterson,"March 20, 2021","Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,Orthodox,"Mar 10, 1990",4.39,46%,4.37,54%,0.0,0%,50%,0.0,182.88,170.0,180.34,Orthodox,"Nov 29, 1985",4.14,48%,3.94,56%,1.7,51%,66%,0.5,180.34,170.0,193.04
Derek Brunson,Kevin Holland,0,0,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236,6 of 12,1 of 1,50%,100%,1,0,0,0,16:55,1:47,28 of 74,28 of 64,7 of 10,2 of 4,8 of 9,6 of 6,14 of 43,29 of 64,10 of 10,5 of 7,19 of 40,2 of 3,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"March 20, 2021","Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,Southpaw,"Jan 04, 1984",3.46,47%,2.72,53%,3.11,33%,94%,0.5,185.42000000000002,185.0,195.58,Orthodox,"Nov 05, 1992",4.14,56%,2.58,56%,1.08,45%,51%,0.7,190.5,185.0,205.74
Montel Jackson,Jesse Strader,2,0,15 of 26,14 of 25,57%,56%,15 of 26,14 of 25,0 of 0,0 of 0,---,---,0,0,0,0,0:16,0:01,11 of 22,3 of 7,2 of 2,3 of 7,2 of 2,8 of 11,5 of 12,12 of 22,3 of 4,0 of 1,7 of 10,2 of 2,KO/TKO,1,1:58,3 Rnd (5-5-5),Keith Peterson,"March 20, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,Southpaw,"Apr 24, 1992",3.77,55%,1.5,56%,4.15,77%,66%,0.2,177.8,135.0,190.5,Orthodox,"May 29, 1991",7.12,56%,7.63,42%,0.0,0%,0%,0.0,170.18,135.0,177.8
Misha Cirkunov,Ryan Spann,0,1,5 of 18,16 of 29,27%,55%,5 of 18,16 of 29,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:13,5 of 18,14 of 27,0 of 0,2 of 2,0 of 0,0 of 0,5 of 18,4 of 13,0 of 0,0 of 0,0 of 0,12 of 16,KO/TKO,1,1:11,3 Rnd (5-5-5),Mark Smith,"March 13, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,Ryan Spann,Orthodox,"Feb 27, 1987",4.18,51%,3.22,60%,4.28,57%,71%,2.3,190.5,205.0,195.58,Orthodox,"Aug 24, 1991",3.55,45%,3.45,47%,1.72,41%,60%,1.7,195.58,205.0,200.66
Charles Jourdain,Marcelo Rojo,2,0,106 of 220,74 of 204,48%,36%,128 of 248,80 of 211,0 of 1,1 of 2,0%,50%,0,0,0,0,2:57,0:28,68 of 167,25 of 146,21 of 35,22 of 29,17 of 18,27 of 29,73 of 163,63 of 187,14 of 18,11 of 17,19 of 39,0 of 0,KO/TKO,3,4:31,3 Rnd (5-5-5),Mark Smith,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,Charles Jourdain,Switch,"Nov 27, 1995",4.79,45%,4.11,61%,0.0,0%,47%,0.7,175.26,145.0,175.26,Orthodox,"Jul 02, 1988",5.1,36%,7.3,51%,1.03,50%,100%,0.0,172.72,145.0,180.34
Angela Hill,Ashley Yoder,0,0,77 of 135,34 of 116,57%,29%,97 of 165,53 of 143,1 of 3,2 of 6,33%,33%,0,0,0,0,3:52,2:39,26 of 63,17 of 85,35 of 54,11 of 21,16 of 18,6 of 10,47 of 98,34 of 115,29 of 33,0 of 1,1 of 4,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,"March 13, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,Angela Hill,Orthodox,"Jan 12, 1985",5.66,50%,4.98,64%,0.45,36%,76%,0.1,160.02,115.0,162.56,Southpaw,"Oct 20, 1987",2.75,39%,3.53,46%,1.33,37%,68%,0.7,170.18,115.0,175.26
Jonathan Martinez,Davey Grant,1,1,29 of 71,48 of 110,40%,43%,29 of 71,49 of 111,0 of 0,0 of 1,---,0%,0,0,0,0,0:25,0:03,16 of 57,14 of 64,5 of 6,19 of 30,8 of 8,15 of 16,26 of 66,46 of 108,0 of 0,0 of 0,3 of 5,2 of 2,KO/TKO,2,3:03,3 Rnd (5-5-5),Chris Tognoni,"March 13, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Davey Grant,Southpaw,"Apr 20, 1994",4.27,46%,3.81,58%,0.48,37%,63%,0.0,172.72,135.0,177.8,Orthodox,"Dec 18, 1985",3.93,47%,2.47,63%,2.3,45%,66%,0.2,172.72,135.0,175.26
Dan Ige,Gavin Tucker,1,0,1 of 4,1 of 1,25%,100%,1 of 4,1 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,1 of 4,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,1 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,1,0:22,3 Rnd (5-5-5),Mike Beltran,"March 13, 2021","Las Vegas, Nevada, USA",Featherweight Bout,Dan Ige,Orthodox,"Aug 06, 1991",3.95,46%,3.36,58%,1.68,27%,59%,0.5,170.18,145.0,180.34,Southpaw,"Jun 17, 1986",4.39,45%,4.28,57%,2.98,42%,53%,1.5,167.64000000000001,145.0,167.64000000000001
Nasrat Haqparast,Rafa Garcia,0,0,99 of 217,52 of 217,45%,23%,99 of 218,54 of 219,0 of 2,0 of 3,0%,0%,0,0,0,0,0:00,0:21,60 of 170,32 of 186,38 of 45,15 of 24,1 of 2,5 of 7,99 of 217,48 of 211,0 of 0,4 of 6,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"March 13, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Nasrat Haqparast,Southpaw,"Aug 22, 1995",5.81,47%,3.23,74%,0.18,16%,84%,0.0,177.8,155.0,182.88,Orthodox,"Aug 05, 1994",3.47,23%,6.6,54%,0.0,0%,100%,0.0,170.18,155.0,177.8
Cortney Casey,JJ Aldrich,0,0,55 of 131,45 of 80,41%,56%,121 of 202,58 of 99,0 of 1,4 of 7,0%,57%,0,0,0,0,0:02,5:44,35 of 107,41 of 74,9 of 12,4 of 6,11 of 12,0 of 0,45 of 114,36 of 64,10 of 17,4 of 7,0 of 0,5 of 9,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 13, 2021","Las Vegas, Nevada, USA",Women's Flyweight Bout,JJ Aldrich,Orthodox,"May 05, 1987",4.33,38%,4.19,52%,0.28,27%,38%,0.6,170.18,125.0,170.18,Southpaw,"Sep 29, 1992",3.76,41%,4.55,61%,0.8,40%,57%,0.0,165.1,125.0,170.18
Matthew Semelsberger,Jason Witt,1,0,3 of 5,4 of 4,60%,100%,3 of 5,4 of 4,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,2 of 4,2 of 2,0 of 0,0 of 0,1 of 1,2 of 2,2 of 2,4 of 4,0 of 0,0 of 0,1 of 3,0 of 0,KO/TKO,1,0:16,3 Rnd (5-5-5),Chris Tognoni,"March 13, 2021","Las Vegas, Nevada, USA",Welterweight Bout,Matthew Semelsberger,Switch,"Nov 23, 1992",7.93,50%,5.31,56%,1.97,100%,100%,1.0,185.42000000000002,170.0,190.5,Orthodox,"Nov 07, 1986",3.16,65%,2.68,29%,3.65,50%,0%,1.8,177.8,170.0,177.8
Rani Yahya,Ray Rodriguez,0,0,8 of 13,3 of 18,61%,16%,42 of 65,15 of 35,2 of 4,0 of 0,50%,---,1,0,0,0,7:00,0:00,0 of 3,2 of 16,1 of 2,1 of 2,7 of 8,0 of 0,8 of 13,3 of 18,0 of 0,0 of 0,0 of 0,0 of 0,Submission,2,3:09,3 Rnd (5-5-5),Herb Dean,"March 13, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Rani Yahya,Orthodox,"Sep 12, 1984",1.57,37%,1.7,50%,2.89,33%,24%,2.0,167.64000000000001,135.0,170.18,Orthodox,"Dec 10, 1987",0.9,27%,3.89,40%,1.42,50%,44%,0.0,170.18,135.0,177.8
Gloria de Paula,Jinh Yu Frey,0,0,31 of 63,24 of 79,49%,30%,51 of 95,50 of 125,0 of 0,2 of 3,---,66%,0,2,0,0,0:05,9:33,18 of 48,10 of 62,7 of 9,3 of 5,6 of 6,11 of 12,27 of 59,17 of 70,4 of 4,1 of 1,0 of 0,6 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,"March 13, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,Jinh Yu Frey,Orthodox,"Jun 10, 1995",3.33,54%,1.2,70%,0.0,0%,71%,1.0,165.1,115.0,170.18,Southpaw,"May 20, 1985",1.79,40%,3.35,44%,1.06,42%,83%,0.7,160.02,115.0,165.1
Dominick Cruz,Casey Kenney,0,0,89 of 202,74 of 193,44%,38%,115 of 229,74 of 193,2 of 9,0 of 2,22%,0%,0,0,0,0,2:07,0:26,51 of 151,41 of 148,24 of 35,10 of 19,14 of 16,23 of 26,85 of 197,72 of 191,4 of 4,2 of 2,0 of 1,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,"March 06, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Dominick Cruz,Orthodox,"Mar 09, 1985",3.65,32%,2.42,72%,2.99,46%,83%,0.1,172.72,135.0,172.72,Southpaw,"Mar 20, 1991",4.81,42%,4.3,59%,1.1,39%,59%,0.5,170.18,140.0,172.72
Song Yadong,Kyler Phillips,0,0,67 of 161,59 of 142,41%,41%,89 of 189,69 of 152,0 of 0,3 of 5,---,60%,0,0,1,0,1:06,1:36,39 of 120,38 of 112,20 of 32,16 of 23,8 of 9,5 of 7,67 of 158,54 of 137,0 of 1,2 of 2,0 of 2,3 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 06, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Kyler Phillips,Orthodox,"Dec 02, 1997",4.35,42%,3.64,57%,0.59,75%,56%,0.4,172.72,145.0,170.18,Orthodox,"Jun 12, 1995",5.32,46%,3.04,61%,2.88,63%,71%,0.4,172.72,135.0,182.88
Petr Yan,Aljamain Sterling,1,0,86 of 137,97 of 230,62%,42%,103 of 157,119 of 260,7 of 7,1 of 17,100%,5%,0,0,0,1,4:12,3:25,48 of 96,40 of 154,21 of 24,43 of 60,17 of 17,14 of 16,64 of 106,79 of 207,12 of 18,13 of 14,10 of 13,5 of 9,DQ,4,4:29,5 Rnd (5-5-5-5-5),Mark Smith,"March 06, 2021","Las Vegas, Nevada, USA",UFC Bantamweight Title Bout,Aljamain Sterling,Switch,"Feb 11, 1993",5.99,52%,3.55,62%,2.14,66%,90%,0.1,170.18,135.0,170.18,Orthodox,"Jul 31, 1989",4.84,49%,2.2,63%,1.77,24%,41%,0.9,170.18,135.0,180.34
Jan Blachowicz,Israel Adesanya,0,0,107 of 193,78 of 161,55%,48%,184 of 276,99 of 182,3 of 5,0 of 0,60%,---,0,0,0,0,7:06,0:01,67 of 146,32 of 102,29 of 33,17 of 23,11 of 14,29 of 36,85 of 169,77 of 158,6 of 6,0 of 1,16 of 18,1 of 2,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"March 06, 2021","Las Vegas, Nevada, USA",UFC Light Heavyweight Title Bout,Jan Blachowicz,Orthodox,"Feb 24, 1983",3.59,49%,2.79,53%,1.18,53%,65%,0.2,187.96,205.0,198.12,Switch,"Jul 22, 1989",3.95,49%,2.63,61%,0.0,0%,82%,0.3,193.04,185.0,203.2
Thiago Santos,Aleksandar Rakic,0,0,49 of 97,36 of 89,50%,40%,61 of 109,50 of 103,0 of 1,0 of 2,0%,0%,0,0,0,0,0:00,2:32,10 of 41,8 of 47,23 of 33,13 of 16,16 of 23,15 of 26,35 of 82,29 of 82,14 of 15,7 of 7,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"March 06, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,Aleksandar Rakic,Orthodox,"Jan 07, 1984",4.27,48%,2.33,55%,0.7,38%,66%,0.1,187.96,205.0,193.04,Orthodox,"Feb 06, 1992",4.23,52%,2.23,52%,0.75,25%,90%,0.2,193.04,205.0,198.12
Joseph Benavidez,Askar Askarov,0,0,46 of 114,58 of 88,40%,65%,61 of 130,71 of 107,0 of 0,5 of 6,---,83%,0,0,0,0,0:00,5:00,13 of 57,39 of 65,21 of 41,14 of 18,12 of 16,5 of 5,41 of 108,50 of 77,4 of 5,4 of 5,1 of 1,4 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,"March 06, 2021","Las Vegas, Nevada, USA",Flyweight Bout,Askar Askarov,Southpaw,"Jul 31, 1984",3.52,34%,2.67,61%,1.41,30%,62%,0.6,162.56,125.0,165.1,Orthodox,"Oct 09, 1992",3.37,55%,2.65,56%,2.75,28%,64%,0.0,167.64000000000001,125.0,170.18
Amanda Nunes,Megan Anderson,0,0,18 of 25,2 of 5,72%,40%,19 of 26,2 of 5,0 of 0,0 of 1,---,0%,2,0,0,0,0:42,0:00,15 of 22,0 of 3,0 of 0,1 of 1,3 of 3,1 of 1,10 of 16,2 of 5,0 of 0,0 of 0,8 of 9,0 of 0,Submission,1,2:03,5 Rnd (5-5-5-5-5),Jason Herzog,"March 06, 2021","Las Vegas, Nevada, USA",UFC Women's Featherweight Title Bout,Amanda Nunes,Orthodox,"May 30, 1988",4.5,51%,2.45,57%,2.5,53%,84%,0.9,172.72,145.0,175.26,Orthodox,"Feb 11, 1990",1.76,46%,3.35,37%,0.52,25%,53%,0.5,182.88,145.0,182.88
Islam Makhachev,Drew Dober,0,0,15 of 25,10 of 20,60%,50%,102 of 119,14 of 24,3 of 4,0 of 0,75%,---,2,0,0,0,9:26,0:12,12 of 22,5 of 15,2 of 2,3 of 3,1 of 1,2 of 2,5 of 14,6 of 14,1 of 1,1 of 1,9 of 10,3 of 5,Submission,3,1:37,3 Rnd (5-5-5),Chris Tognoni,"March 06, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Islam Makhachev,Southpaw,"Oct 27, 1991",2.0,56%,0.77,70%,3.46,68%,93%,1.0,177.8,155.0,177.8,Southpaw,"Oct 19, 1988",4.33,40%,3.87,54%,0.8,17%,55%,0.1,172.72,155.0,177.8
Tim Elliott,Jordan Espinosa,0,0,25 of 44,13 of 25,56%,52%,91 of 120,22 of 35,4 of 7,0 of 0,57%,---,0,0,0,0,13:19,0:00,14 of 27,7 of 18,10 of 14,4 of 4,1 of 3,2 of 3,4 of 17,6 of 15,6 of 9,4 of 5,15 of 18,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"March 06, 2021","Las Vegas, Nevada, USA",Flyweight Bout,Tim Elliott,Southpaw,"Dec 24, 1986",3.35,45%,2.49,59%,4.01,49%,58%,1.1,170.18,125.0,167.64000000000001,Orthodox,"Nov 08, 1989",4.22,52%,2.94,57%,0.75,28%,70%,0.2,167.64000000000001,125.0,175.26
Livinha Souza,Amanda Lemos,0,2,1 of 7,29 of 46,14%,63%,1 of 7,30 of 47,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:13,0 of 4,22 of 37,0 of 1,3 of 5,1 of 2,4 of 4,1 of 7,12 of 22,0 of 0,0 of 0,0 of 0,17 of 24,KO/TKO,1,3:39,3 Rnd (5-5-5),Jason Herzog,"March 06, 2021","Las Vegas, Nevada, USA",Women's Strawweight Bout,Amanda Lemos,Orthodox,"Mar 11, 1991",2.06,45%,3.38,62%,2.4,44%,40%,1.2,160.02,115.0,160.02,Southpaw,"May 22, 1987",6.21,64%,5.39,45%,1.98,100%,100%,0.5,162.56,115.0,165.1
Rogerio Bontorin,Kai Kara-France,0,1,6 of 17,13 of 22,35%,59%,27 of 43,21 of 32,1 of 1,0 of 0,100%,---,2,0,0,0,3:15,0:01,5 of 16,8 of 17,1 of 1,2 of 2,0 of 0,3 of 3,5 of 16,11 of 20,0 of 0,2 of 2,1 of 1,0 of 0,KO/TKO,1,4:55,3 Rnd (5-5-5),Herb Dean,"March 06, 2021","Las Vegas, Nevada, USA",Flyweight Bout,Kai Kara-France,Orthodox,"Apr 25, 1992",2.19,50%,3.12,38%,1.9,40%,51%,1.6,165.1,125.0,170.18,Orthodox,"Mar 26, 1993",5.02,39%,3.84,66%,0.53,23%,86%,0.0,162.56,125.0,175.26
Uros Medic,Aalon Cruz,1,0,45 of 63,0 of 3,71%,0%,55 of 74,0 of 3,0 of 0,0 of 2,---,0%,0,0,0,0,0:56,0:11,43 of 61,0 of 2,1 of 1,0 of 1,1 of 1,0 of 0,7 of 8,0 of 3,3 of 3,0 of 0,35 of 52,0 of 0,KO/TKO,1,1:40,3 Rnd (5-5-5),Mark Smith,"March 06, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Uros Medic,Southpaw,"Apr 25, 1993",19.91,77%,0.52,86%,0.0,0%,100%,0.0,185.42000000000002,155.0,180.34,Switch,"Sep 20, 1989",7.58,39%,8.88,58%,0.0,0%,0%,0.0,182.88,145.0,198.12
Kennedy Nzechukwu,Carlos Ulberg,1,0,82 of 148,146 of 227,55%,64%,84 of 150,146 of 227,0 of 1,0 of 0,0%,---,0,0,0,0,0:05,0:05,81 of 144,101 of 175,1 of 4,31 of 37,0 of 0,14 of 15,72 of 132,132 of 210,3 of 8,14 of 17,7 of 8,0 of 0,KO/TKO,2,3:19,3 Rnd (5-5-5),Herb Dean,"March 06, 2021","Las Vegas, Nevada, USA",Light Heavyweight Bout,Kennedy Nzechukwu,Southpaw,"Jun 13, 1992",5.38,43%,5.8,48%,0.0,0%,78%,0.0,195.58,205.0,210.82,Orthodox,"Nov 07, 1990",15.07,62%,8.6,47%,0.0,0%,100%,0.0,193.04,205.0,195.58
Sean Brady,Jake Matthews,0,0,37 of 68,21 of 84,54%,25%,133 of 187,32 of 95,1 of 1,0 of 0,100%,---,1,0,1,0,8:08,0:04,23 of 52,17 of 76,1 of 1,3 of 7,13 of 15,1 of 1,21 of 49,19 of 82,0 of 0,0 of 0,16 of 19,2 of 2,Submission,3,3:28,3 Rnd (5-5-5),Chris Tognoni,"March 06, 2021","Las Vegas, Nevada, USA",Welterweight Bout,Sean Brady,Orthodox,"Nov 23, 1992",4.72,55%,3.6,63%,2.69,60%,100%,1.2,177.8,170.0,182.88,Orthodox,"Aug 19, 1994",3.03,44%,2.16,61%,1.93,41%,66%,0.6,180.34,170.0,185.42000000000002
Mario Bautista,Trevin Jones,0,1,21 of 42,23 of 30,50%,76%,43 of 64,36 of 44,0 of 0,0 of 3,---,0%,0,0,0,0,0:09,1:26,11 of 27,11 of 18,6 of 11,1 of 1,4 of 4,11 of 11,16 of 35,17 of 22,5 of 7,2 of 2,0 of 0,4 of 6,KO/TKO,2,0:47,3 Rnd (5-5-5),Chris Tognoni,"March 06, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Trevin Jones,Switch,"Jul 01, 1993",5.71,45%,4.78,54%,0.48,33%,70%,0.0,175.26,135.0,175.26,Southpaw,"Aug 04, 1990",3.84,61%,6.81,35%,1.17,20%,0%,0.0,170.18,140.0,177.8
Jairzinho Rozenstruik,Ciryl Gane,0,0,42 of 104,102 of 176,40%,57%,49 of 111,128 of 202,0 of 0,2 of 14,---,14%,0,0,0,0,0:00,4:29,14 of 69,33 of 83,5 of 6,23 of 32,23 of 29,46 of 61,38 of 97,98 of 172,4 of 7,3 of 3,0 of 0,1 of 1,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"February 27, 2021","Las Vegas, Nevada, USA",Heavyweight Bout,Ciryl Gane,Orthodox,"Mar 17, 1988",3.14,48%,3.48,39%,0.0,0%,80%,0.0,193.04,242.0,198.12,Orthodox,"Apr 12, 1990",5.04,55%,1.85,69%,1.13,26%,100%,0.5,193.04,245.0,205.74
Vince Cachero,Ronnie Lawrence,0,0,15 of 46,77 of 121,32%,63%,23 of 55,102 of 151,0 of 2,8 of 9,0%,88%,1,0,1,0,0:36,7:49,8 of 36,53 of 89,3 of 6,14 of 19,4 of 4,10 of 13,10 of 38,22 of 46,5 of 7,5 of 7,0 of 1,50 of 68,KO/TKO,3,2:38,3 Rnd (5-5-5),Jerin Valel,"February 27, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Ronnie Lawrence,Orthodox,"Nov 07, 1989",3.29,45%,6.51,43%,0.0,0%,18%,0.5,167.64000000000001,145.0,172.72,Switch,"Jun 13, 1992",3.8,58%,1.09,61%,10.86,76%,100%,0.5,172.72,135.0,172.72
Alexander Hernandez,Thiago Moises,0,0,50 of 205,53 of 183,24%,28%,50 of 205,53 of 183,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:00,15 of 152,36 of 155,18 of 33,5 of 11,17 of 20,12 of 17,50 of 204,53 of 183,0 of 1,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,"February 27, 2021","Las Vegas, Nevada, USA",Lightweight Bout,Thiago Moises,Orthodox,"Oct 01, 1992",3.57,35%,3.81,59%,1.6,38%,62%,0.0,175.26,155.0,182.88,Orthodox,"Mar 23, 1995",2.85,37%,3.88,60%,1.06,33%,63%,1.2,175.26,155.0,177.8
Pedro Munhoz,Jimmie Rivera,0,0,94 of 194,65 of 193,48%,33%,94 of 194,65 of 193,0 of 0,1 of 5,---,20%,0,0,0,0,0:03,0:04,35 of 115,48 of 168,19 of 27,4 of 8,40 of 52,13 of 17,93 of 193,65 of 193,1 of 1,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,"February 27, 2021","Las Vegas, Nevada, USA",Bantamweight Bout,Pedro Munhoz,Orthodox,"Sep 07, 1986",5.6,43%,5.87,58%,0.68,21%,80%,0.8,167.64000000000001,135.0,165.1,Orthodox,"Jun 29, 1989",4.03,40%,3.9,60%,0.88,27%,92%,0.1,162.56,135.0,172.72
