R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,R_CTRL,B_CTRL,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner,R_Stance,R_DOB,SLpM_x,Str_Acc_x,SApM_x,Str_Def_x,TD_Avg_x,TD_Acc_x,TD_Def_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,B_Stance,B_DOB,SLpM_y,Str_Acc_y,SApM_y,Str_Def_y,TD_Avg_y,TD_Acc_y,TD_Def_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms
Will Campuzano,Nick Pace,0,0,16 of 51,18 of 44,31%,40%,37 of 74,57 of 89,1 of 2,7 of 9,50%,77%,0,1,1,0,3:14,8:05,12 of 47,6 of 31,3 of 3,4 of 4,1 of 1,8 of 9,12 of 42,17 of 42,0 of 0,0 of 1,4 of 9,1 of 1,Submission,3,4:33,3 Rnd (5-5-5),Chris Tognoni,"December 04, 2010","Las Vegas, Nevada, USA",Bantamweight Bout,Nick Pace,Orthodox,"May 27, 1986",2.43,31%,3.82,57%,0.88,45%,48%,0.2,175.26,125.0,177.8,Orthodox,"Apr 17, 1987",1.48,34%,3.14,57%,2.52,43%,54%,0.5,170.18,135.0,172.72
Fredson Paixao,Pablo Garza,0,1,1 of 1,3 of 7,100%,42%,1 of 1,3 of 7,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:01,0 of 0,2 of 6,0 of 0,0 of 0,1 of 1,1 of 1,1 of 1,2 of 6,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,0:51,3 Rnd (5-5-5),Steve Mazzagatti,"December 04, 2010","Las Vegas, Nevada, USA",Featherweight Bout,Pablo Garza,Orthodox,"May 13, 1979",1.71,54%,2.31,62%,0.62,11%,10%,2.2,167.64000000000001,145.0,167.64000000000001,Orthodox,"Sep 16, 1983",3.37,44%,2.7,50%,0.94,25%,15%,1.3,185.42000000000002,145.0,185.42000000000002
Rich Attonito,David Branch,0,0,6 of 15,16 of 27,40%,59%,17 of 32,53 of 79,0 of 0,4 of 10,---,40%,0,0,0,0,0:28,12:19,2 of 11,2 of 13,4 of 4,6 of 6,0 of 0,8 of 8,2 of 9,0 of 8,4 of 5,14 of 14,0 of 1,2 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,"December 04, 2010","Las Vegas, Nevada, USA",Middleweight Bout,David Branch,Orthodox,"Jun 16, 1977",2.28,47%,2.13,59%,0.74,37%,75%,0.0,177.8,170.0,182.88,Orthodox,"Sep 26, 1981",1.66,39%,1.91,56%,2.55,32%,43%,0.0,185.42000000000002,185.0,198.12
Phil Davis,Tim Boetsch,0,0,33 of 75,7 of 19,44%,36%,51 of 98,10 of 22,2 of 2,0 of 0,100%,---,2,1,0,0,4:46,0:07,10 of 40,3 of 12,15 of 25,1 of 2,8 of 10,3 of 5,14 of 35,7 of 18,7 of 10,0 of 1,12 of 30,0 of 0,Submission,2,2:55,3 Rnd (5-5-5),Herb Dean,"November 20, 2010","Auburn Hills, Michigan, USA",Light Heavyweight Bout,Phil Davis,Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6,187.96,205.0,200.66,Orthodox,"Jan 28, 1981",2.93,50%,2.9,57%,1.45,34%,59%,0.8,182.88,185.0,187.96
Karo Parisyan,Dennis Hallman,0,1,2 of 6,10 of 14,33%,71%,5 of 9,18 of 22,0 of 0,0 of 0,---,---,0,0,0,0,0:58,0:05,2 of 6,6 of 10,0 of 0,4 of 4,0 of 0,0 of 0,2 of 6,2 of 4,0 of 0,6 of 7,0 of 0,2 of 3,KO/TKO,1,1:47,3 Rnd (5-5-5),Dan Miragliotta,"November 20, 2010","Auburn Hills, Michigan, USA",Welterweight Bout,Dennis Hallman,Orthodox,"Aug 28, 1982",2.49,41%,2.19,58%,5.27,59%,59%,1.0,177.8,170.0,182.88,Orthodox,"Dec 02, 1975",1.12,44%,1.96,43%,1.79,30%,25%,2.1,175.26,155.0,182.88
Matt Brown,Brian Foster,0,0,13 of 21,25 of 44,61%,56%,23 of 32,36 of 63,1 of 1,3 of 3,100%,100%,1,2,1,1,1:49,3:20,4 of 8,15 of 32,3 of 4,8 of 9,6 of 9,2 of 3,8 of 16,11 of 20,1 of 1,2 of 2,4 of 4,12 of 22,Submission,2,2:11,3 Rnd (5-5-5),Herb Dean,"November 20, 2010","Auburn Hills, Michigan, USA",Welterweight Bout,Brian Foster,Orthodox,"Jan 10, 1981",3.69,54%,2.67,55%,1.56,44%,63%,1.4,182.88,170.0,190.5,Orthodox,"Apr 03, 1984",3.3,39%,1.63,65%,3.67,60%,37%,1.8,175.26,170.0,180.34
Aaron Simpson,Mark Munoz,0,0,43 of 118,76 of 156,36%,48%,70 of 146,92 of 174,5 of 11,1 of 4,45%,25%,0,0,0,1,3:14,2:57,21 of 90,35 of 104,18 of 24,19 of 23,4 of 4,22 of 29,27 of 85,29 of 77,14 of 30,43 of 74,2 of 3,4 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Fennell,"November 20, 2010","Auburn Hills, Michigan, USA",Middleweight Bout,Mark Munoz,Orthodox,"Jul 20, 1974",3.6,52%,2.53,56%,3.78,34%,83%,0.5,182.88,170.0,185.42000000000002,Orthodox,"Feb 09, 1978",3.12,51%,2.26,57%,3.17,29%,57%,0.6,182.88,185.0,180.34
Matt Hughes,BJ Penn,0,1,3 of 6,7 of 9,50%,77%,3 of 6,7 of 9,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,2 of 5,7 of 9,1 of 1,0 of 0,0 of 0,0 of 0,3 of 6,4 of 6,0 of 0,0 of 0,0 of 0,3 of 3,KO/TKO,1,0:21,3 Rnd (5-5-5),Dan Miragliotta,"November 20, 2010","Auburn Hills, Michigan, USA",Welterweight Bout,BJ Penn,Switch,"Oct 13, 1973",2.14,53%,1.36,53%,2.95,50%,35%,1.2,175.26,170.0,185.42000000000002,Orthodox,"Dec 13, 1978",2.76,48%,3.2,56%,1.19,55%,74%,0.5,175.26,155.0,177.8
Quinton Jackson,Lyoto Machida,0,0,16 of 49,33 of 51,32%,64%,70 of 104,53 of 71,1 of 1,1 of 3,100%,33%,0,1,0,0,2:21,4:38,9 of 41,13 of 23,3 of 3,6 of 7,4 of 5,14 of 21,6 of 35,26 of 40,10 of 14,6 of 10,0 of 0,1 of 1,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,"November 20, 2010","Auburn Hills, Michigan, USA",Light Heavyweight Bout,Quinton Jackson,Orthodox,"Jun 20, 1978",3.25,54%,2.51,55%,1.52,56%,73%,0.1,185.42000000000002,205.0,185.42000000000002,Southpaw,"May 30, 1978",2.59,53%,1.57,61%,1.21,65%,75%,0.4,185.42000000000002,185.0,187.96
George Sotiropoulos,Joe Lauzon,0,0,19 of 70,16 of 79,27%,20%,24 of 76,24 of 89,3 of 11,0 of 0,27%,---,2,0,0,1,3:23,0:45,13 of 61,14 of 77,6 of 9,2 of 2,0 of 0,0 of 0,14 of 59,6 of 64,3 of 9,6 of 7,2 of 2,4 of 8,Submission,2,2:43,3 Rnd (5-5-5),Marc Fennell,"November 20, 2010","Auburn Hills, Michigan, USA",Lightweight Bout,George Sotiropoulos,Orthodox,"Jul 09, 1977",2.61,27%,2.52,67%,2.32,31%,53%,1.6,177.8,155.0,180.34,Orthodox,"May 22, 1984",2.84,39%,5.39,54%,2.39,45%,54%,2.0,177.8,155.0,180.34
