R_KD,B_KD,R_SUB_ATT,B_SUB_ATT,R_REV,B_REV,last_round,SLpM_x,SApM_x,TD_Avg_x,Sub_Avg_x,R_Height_cms,R_Weight_lbs,R_Reach_cms,SLpM_y,SApM_y,TD_Avg_y,Sub_Avg_y,B_Height_cms,B_Weight_lbs,B_Reach_cms,R_SIG_STR_landed,R_SIG_STR_attempted,B_SIG_STR_landed,B_SIG_STR_attempted,R_TOTAL_STR_landed,R_TOTAL_STR_attempted,B_TOTAL_STR_landed,B_TOTAL_STR_attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_HEAD_landed,R_HEAD_attempted,B_HEAD_landed,B_HEAD_attempted,R_BODY_landed,R_BODY_attempted,B_BODY_landed,B_BODY_attempted,R_LEG_landed,R_LEG_attempted,B_LEG_landed,B_LEG_attempted,R_DISTANCE_landed,R_DISTANCE_attempted,B_DISTANCE_landed,B_DISTANCE_attempted,R_CLINCH_landed,R_CLINCH_attempted,B_CLINCH_landed,B_CLINCH_attempted,R_GROUND_landed,R_GROUND_attempted,B_GROUND_landed,B_GROUND_attempted,R_SIG_STR_pct_float,B_SIG_STR_pct_float,R_TD_pct_float,B_TD_pct_float,Str_Acc_x_float,Str_Def_x_float,TD_Acc_x_float,TD_Def_x_float,Str_Acc_y_float,Str_Def_y_float,TD_Acc_y_float,TD_Def_y_float,R_age,B_age,age_diff,height_diff,reach_diff,weight_diff,slpm_diff,str_acc_diff,sapm_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,Winner_target
2,0,0,0,0,0,2,5.03,4.24,0.36,0.0,187.96,205.0,190.5,2.01,2.84,2.02,0.4,177.8,205.0,185.42,64,137,18,60,92,166,20,62,0,0,1,5,44,114,16,54,11,14,2,6,9,9,0,0,47,110,17,56,12,20,1,4,5,7,0,0,0.46,0.3,0.0,0.2,0.45,0.55,0.2,0.8,0.4,0.56,0.32,1.0,29.88911704312115,36.035592060232716,-6.146475017111566,10.159999999999997,5.0800000000000125,0.0,3.0200000000000005,0.04999999999999999,1.4000000000000004,-0.010000000000000009,-1.6600000000000001,-0.12,-0.19999999999999996,-0.4,1
0,0,1,0,0,0,1,5.04,1.85,1.13,0.5,193.04,245.0,205.74,2.16,3.43,0.0,0.0,190.5,262.0,198.12,15,22,7,41,20,28,9,43,0,1,0,2,7,13,5,36,4,5,2,3,4,4,0,2,14,19,6,37,1,1,1,4,0,2,0,0,0.68,0.17,0.0,0.0,0.55,0.69,0.26,1.0,0.26,0.42,0.0,1.0,29.32785763175907,30.420260095824776,-1.0924024640657066,2.539999999999992,7.6200000000000045,-17.0,2.88,0.29000000000000004,-1.58,0.26999999999999996,1.13,0.26,0.0,0.5,1
0,0,0,0,0,0,3,3.91,2.97,4.2,0.3,170.18,145.0,177.8,3.41,3.15,2.74,1.4,177.8,145.0,185.42,83,239,90,236,88,244,98,247,3,7,0,1,51,199,56,188,24,32,21,32,8,8,13,16,82,235,88,231,1,4,2,5,0,0,0,0,0.34,0.38,0.42,0.0,0.41,0.68,0.45,0.66,0.39,0.61,0.66,0.66,30.28336755646817,29.190965092402465,1.0924024640657066,-7.6200000000000045,-7.619999999999976,0.0,0.5,0.019999999999999962,-0.17999999999999972,0.07000000000000006,1.46,-0.21000000000000002,0.0,-1.0999999999999999,1
0,0,1,0,0,0,2,1.66,3.06,7.0,1.6,182.88,185.0,185.42,3.3,3.93,0.61,1.5,182.88,185.0,193.04,18,39,22,43,37,62,51,76,3,7,0,0,16,36,19,36,1,2,3,7,1,1,0,0,5,16,8,27,1,1,12,14,12,22,2,2,0.46,0.51,0.42,0.0,0.42,0.42,0.47,0.0,0.52,0.51,0.4,0.38,29.872689938398356,29.541409993155373,0.3312799452429829,0.0,-7.6200000000000045,0.0,-1.64,-0.10000000000000003,-0.8700000000000001,-0.09000000000000002,6.39,0.06999999999999995,-0.38,0.10000000000000009,1
0,0,0,0,0,0,5,2.98,2.03,2.21,0.3,165.1,125.0,167.64,2.78,2.51,2.57,0.3,167.64,125.0,167.64,42,115,18,76,84,159,132,191,1,1,0,4,16,73,1,40,4,12,4,7,22,30,13,29,38,106,17,75,1,1,1,1,3,8,0,0,0.36,0.23,1.0,0.0,0.5,0.62,0.58,0.75,0.54,0.61,0.51,0.65,31.42505133470226,35.4715947980835,-4.046543463381241,-2.539999999999992,0.0,0.0,0.20000000000000018,-0.040000000000000036,-0.48,0.010000000000000009,-0.3599999999999999,0.06999999999999995,0.09999999999999998,0.0,1
0,0,0,1,0,0,3,4.3,3.37,0.68,0.1,154.94,115.0,152.4,4.86,3.16,0.36,0.2,167.64,115.0,165.1,41,108,84,167,58,126,98,186,0,7,1,4,17,70,31,91,17,26,36,51,7,12,17,25,29,89,44,123,12,19,39,43,0,0,1,1,0.37,0.5,0.0,0.25,0.47,0.62,0.15,0.56,0.5,0.53,0.33,0.59,29.982203969883642,32.28199863107461,-2.2997946611909654,-12.699999999999989,-12.699999999999989,0.0,-0.5600000000000005,-0.030000000000000027,0.20999999999999996,0.08999999999999997,0.32000000000000006,-0.18000000000000002,-0.029999999999999916,-0.1,0
0,0,0,0,0,0,1,2.19,3.12,1.9,1.6,165.1,125.0,170.18,4.46,4.89,0.26,0.3,172.72,125.0,175.26,8,15,3,15,8,16,7,19,2,5,0,0,6,13,3,14,0,0,0,1,2,2,0,0,7,14,3,15,1,1,0,0,0,0,0,0,0.53,0.2,0.4,0.0,0.5,0.38,0.4,0.51,0.43,0.51,0.2,0.8,27.290896646132786,23.813826146475016,3.4770704996577706,-7.6200000000000045,-5.079999999999984,0.0,-2.27,0.07,-1.7699999999999996,-0.13,1.64,0.2,-0.29000000000000004,1.3,1
0,0,0,0,0,1,3,3.67,2.62,3.0,0.0,170.18,135.0,182.88,4.3,2.45,0.57,0.2,175.26,145.0,170.18,40,112,48,86,57,134,49,87,2,7,1,2,26,95,18,46,10,12,6,7,4,5,24,33,38,110,40,75,2,2,2,2,0,0,6,9,0.35,0.55,0.28,0.5,0.52,0.5,0.45,0.59,0.57,0.59,0.6,0.73,27.860369609856264,28.301163586584533,-0.44079397672826914,-5.079999999999984,12.699999999999989,-10.0,-0.6299999999999999,-0.04999999999999993,0.16999999999999993,-0.08999999999999997,2.43,-0.14999999999999997,-0.14,-0.2,0
0,0,1,0,1,0,1,3.13,5.06,0.57,0.6,162.56,125.0,162.56,3.71,3.01,1.12,3.4,165.1,115.0,170.18,1,1,1,3,1,1,1,3,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,1.0,0.33,0.0,1.0,0.39,0.43,0.18,0.46,0.41,0.54,0.33,0.5,23.7782340862423,27.15400410677618,-3.3757700205338814,-2.539999999999992,-7.6200000000000045,10.0,-0.5800000000000001,-0.019999999999999962,2.05,-0.11000000000000004,-0.5500000000000002,-0.15000000000000002,-0.03999999999999998,-2.8,1
0,0,0,0,1,0,3,1.84,1.16,0.79,0.0,172.72,155.0,180.34,2.07,2.65,2.75,0.4,172.72,155.0,185.42,20,42,17,39,59,92,88,130,0,1,3,4,16,37,14,35,2,3,1,2,2,2,2,2,13,34,7,28,0,0,1,1,7,8,9,10,0.47,0.43,0.0,0.75,0.49,0.54,0.33,0.25,0.46,0.55,0.43,0.77,33.98494182067078,23.512662559890487,10.47227926078029,0.0,-5.079999999999984,0.0,-0.22999999999999976,0.02999999999999997,-1.49,-0.010000000000000009,-1.96,-0.09999999999999998,-0.52,-0.4,0
0,1,0,0,0,0,2,3.92,4.43,0.24,0.7,172.72,155.0,175.26,5.81,3.23,0.18,0.0,177.8,155.0,182.88,15,56,21,38,15,56,21,38,0,0,0,0,0,35,18,33,6,11,2,4,9,10,1,1,15,56,12,29,0,0,0,0,0,0,9,9,0.26,0.55,0.0,0.0,0.37,0.56,0.5,0.64,0.47,0.74,0.16,0.84,30.48870636550308,23.94798083504449,6.540725530458591,-5.0800000000000125,-7.6200000000000045,0.0,-1.8899999999999997,-0.09999999999999998,1.1999999999999997,-0.17999999999999994,0.06,0.33999999999999997,-0.19999999999999996,0.7,0
1,0,0,0,0,0,2,4.44,3.47,2.16,0.2,175.26,155.0,175.26,2.84,4.1,1.27,0.0,180.34,155.0,177.8,44,92,16,58,55,108,20,62,1,2,1,3,37,77,13,54,2,2,2,2,5,13,1,2,33,72,15,57,5,5,1,1,6,15,0,0,0.47,0.27,0.5,0.33,0.49,0.54,0.58,0.66,0.41,0.54,0.53,0.33,35.841204654346335,30.89664613278576,4.944558521560573,-5.0800000000000125,-2.5400000000000205,0.0,1.6000000000000005,0.08000000000000002,-0.6299999999999994,0.0,0.8900000000000001,0.04999999999999993,0.33,0.2,1
0,0,0,0,0,0,3,2.61,4.04,3.42,0.0,182.88,205.0,193.04,5.38,5.8,0.0,0.0,195.58,205.0,210.82,60,134,50,123,63,137,50,123,4,10,0,0,21,80,38,102,7,9,10,18,32,45,2,3,48,111,47,120,10,20,0,0,2,3,3,3,0.44,0.4,0.4,0.0,0.45,0.58,0.5,0.83,0.43,0.48,0.0,0.78,27.479808350444902,27.137577002053387,0.3422313483915147,-12.700000000000017,-17.78,0.0,-2.77,0.020000000000000018,-1.7599999999999998,0.09999999999999998,3.42,0.5,0.04999999999999993,0.0,0
0,0,3,0,0,0,2,4.09,2.51,0.65,0.7,172.72,125.0,170.18,4.15,4.09,0.16,0.6,172.72,125.0,170.18,16,23,6,16,36,44,12,24,0,0,1,5,3,6,3,12,9,13,3,4,4,4,0,0,1,3,0,8,15,20,5,7,0,0,1,1,0.69,0.37,0.0,0.2,0.56,0.54,0.6,0.56,0.36,0.52,0.12,0.61,34.69952087611225,25.138945927446954,9.560574948665298,0.0,0.0,0.0,-0.0600000000000005,0.20000000000000007,-1.58,0.020000000000000018,0.49,0.48,-0.04999999999999993,0.09999999999999998,1
0,0,0,0,0,0,5,4.12,2.86,4.61,0.1,180.34,170.0,182.88,3.5,4.16,0.68,0.0,180.34,170.0,187.96,179,515,78,167,201,541,82,171,10,18,0,0,128,454,61,144,20,28,10,16,31,33,7,7,154,477,66,152,25,38,12,15,0,0,0,0,0.34,0.46,0.55,0.0,0.38,0.55,0.5,0.75,0.45,0.6,0.64,0.64,31.444216290212182,37.37166324435318,-5.927446954140997,0.0,-5.0800000000000125,0.0,0.6200000000000001,-0.07,-1.3000000000000003,-0.04999999999999993,3.93,-0.14,0.10999999999999999,0.1,1
0,0,1,0,0,0,1,2.73,2.99,1.69,1.9,172.72,155.0,180.34,2.44,2.57,3.36,0.7,170.18,155.0,177.8,2,8,2,5,2,8,2,5,0,0,0,0,1,7,1,4,0,0,0,0,1,1,1,1,2,8,2,5,0,0,0,0,0,0,0,0,0.25,0.4,0.0,0.0,0.4,0.59,0.43,0.46,0.34,0.63,0.38,0.68,35.92607802874743,37.65092402464066,-1.7248459958932258,2.539999999999992,2.539999999999992,0.0,0.29000000000000004,0.06,0.4200000000000004,-0.040000000000000036,-1.67,0.04999999999999999,-0.22000000000000003,1.2,1
0,0,0,1,1,2,3,3.26,1.88,1.37,0.3,182.88,185.0,187.96,3.3,3.61,2.33,1.7,185.42,185.0,195.58,8,15,6,19,27,38,31,55,1,1,1,3,8,13,3,16,0,2,2,2,0,0,1,1,2,9,4,13,1,1,0,0,5,5,2,6,0.53,0.31,1.0,0.33,0.56,0.62,0.8,0.79,0.42,0.51,0.43,0.46,26.989733059548254,31.6249144421629,-4.635181382614647,-2.539999999999992,-7.6200000000000045,0.0,-0.040000000000000036,0.14000000000000007,-1.73,0.10999999999999999,-0.96,0.37000000000000005,0.33,-1.4,0
0,0,0,0,0,0,3,2.91,2.64,0.0,0.0,170.18,125.0,172.72,6.53,3.9,0.0,0.0,162.56,125.0,154.94,61,143,55,166,77,162,58,170,0,0,0,0,31,91,20,102,8,12,20,34,22,40,15,30,47,117,43,145,14,26,12,21,0,0,0,0,0.42,0.33,0.0,0.0,0.48,0.59,0.0,0.4,0.46,0.55,0.0,0.66,27.304585900068446,27.208761122518823,0.09582477754962326,7.6200000000000045,17.78,0.0,-3.62,0.019999999999999962,-1.2599999999999998,0.039999999999999925,0.0,0.0,-0.26,0.0,1
0,0,0,1,0,0,1,4.22,2.94,0.75,0.2,167.64,125.0,175.26,4.2,4.02,0.48,1.2,172.72,125.0,177.8,5,6,3,12,5,6,3,12,0,1,0,0,2,3,2,11,0,0,0,0,3,3,1,1,5,6,3,12,0,0,0,0,0,0,0,0,0.83,0.25,0.0,0.0,0.52,0.57,0.28,0.7,0.36,0.62,0.33,0.53,29.73305954825462,29.54688569472964,0.18617385352498061,-5.0800000000000125,-2.5400000000000205,0.0,0.019999999999999574,0.16000000000000003,-1.0799999999999996,-0.050000000000000044,0.27,-0.04999999999999999,0.16999999999999993,-1.0,0
1,0,0,0,0,0,3,3.8,3.82,1.18,0.1,165.1,125.0,170.18,2.54,2.48,1.83,0.2,167.64,125.0,175.26,24,123,22,72,35,144,35,87,0,1,1,3,20,117,16,62,3,5,0,0,1,1,6,10,17,112,22,72,3,6,0,0,4,5,0,0,0.19,0.3,0.0,0.33,0.38,0.63,0.37,0.7,0.37,0.71,0.44,0.66,36.01916495550992,33.16632443531827,2.8528405201916485,-2.539999999999992,-5.079999999999984,0.0,1.2599999999999998,0.010000000000000009,1.3399999999999999,-0.07999999999999996,-0.6500000000000001,-0.07,0.039999999999999925,-0.1,1
0,0,1,0,0,0,1,3.14,3.12,3.01,1.6,180.34,170.0,180.34,0.31,5.34,0.0,0.0,182.88,170.0,185.42,32,37,2,6,32,38,2,6,1,1,0,0,25,29,2,5,5,6,0,1,2,2,0,0,8,12,2,6,1,1,0,0,23,24,0,0,0.86,0.33,1.0,0.0,0.42,0.43,0.28,0.66,0.27,0.23,0.0,0.25,36.90622861054072,35.6331279945243,1.2731006160164213,-2.539999999999992,-5.079999999999984,0.0,2.83,0.14999999999999997,-2.2199999999999998,0.19999999999999998,3.01,0.28,0.41000000000000003,1.6,1
0,0,0,0,0,0,3,2.55,3.65,1.15,2.1,187.96,170.0,187.96,2.6,2.87,0.0,0.0,177.8,170.0,182.88,50,117,48,96,66,136,65,118,1,7,0,3,41,103,23,64,3,8,20,25,6,6,5,7,24,82,32,68,18,26,9,15,8,9,7,13,0.42,0.5,0.14,0.0,0.46,0.42,0.26,0.4,0.46,0.58,0.0,0.83,27.529089664613277,29.845311430527037,-2.3162217659137596,10.159999999999997,5.0800000000000125,0.0,-0.050000000000000266,0.0,0.7799999999999998,-0.15999999999999998,1.15,0.26,-0.42999999999999994,2.1,1
0,0,2,0,1,0,3,4.39,4.28,2.98,1.5,167.64,145.0,167.64,3.17,2.45,1.03,0.0,182.88,145.0,187.96,37,62,23,96,49,77,42,116,5,13,2,2,21,40,11,74,7,11,12,21,9,11,0,1,24,45,13,80,5,7,10,16,8,10,0,0,0.59,0.23,0.38,1.0,0.45,0.57,0.42,0.53,0.41,0.46,0.57,0.66,33.1088295687885,26.72689938398357,6.381930184804929,-15.240000000000009,-20.32000000000002,0.0,1.2199999999999998,0.040000000000000036,1.83,0.10999999999999993,1.95,-0.14999999999999997,-0.13,1.5,1
0,1,0,0,0,1,2,4.94,4.93,0.5,0.2,180.34,170.0,190.5,5.33,5.83,0.89,0.9,182.88,170.0,193.04,41,61,24,57,53,73,42,79,2,4,0,2,41,60,15,41,0,1,7,14,0,0,2,2,8,18,14,39,6,8,6,8,27,35,4,10,0.67,0.42,0.5,0.0,0.49,0.61,0.5,0.92,0.41,0.49,0.22,0.72,28.91170431211499,29.82340862422998,-0.9117043121149919,-2.539999999999992,-2.539999999999992,0.0,-0.3899999999999997,0.08000000000000002,-0.9000000000000004,0.12,-0.39,0.28,0.20000000000000007,-0.7,1
1,0,0,0,0,0,3,5.15,2.31,0.0,0.0,172.72,145.0,185.42,2.76,5.65,0.0,0.0,172.72,145.0,177.8,80,154,39,79,89,166,41,81,0,0,0,1,42,95,24,62,27,44,7,8,11,15,8,9,38,99,35,68,42,55,4,11,0,0,0,0,0.51,0.49,0.0,0.0,0.47,0.63,0.0,0.85,0.49,0.48,0.0,0.0,28.0684462696783,24.213552361396303,3.8548939082819977,0.0,7.619999999999976,0.0,2.3900000000000006,-0.020000000000000018,-3.3400000000000003,0.15000000000000002,0.0,0.0,0.85,0.0,1
0,0,0,0,0,1,3,4.25,4.12,0.55,0.0,185.42,185.0,187.96,2.98,1.9,1.27,0.1,185.42,185.0,195.58,39,77,40,117,62,102,98,181,1,3,1,7,18,51,20,92,11,16,17,22,10,10,3,3,18,52,19,85,21,25,21,32,0,0,0,0,0.5,0.34,0.33,0.14,0.46,0.57,0.28,0.69,0.45,0.58,0.35,0.87,29.43463381245722,29.935660506502394,-0.5010266940451729,0.0,-7.6200000000000045,0.0,1.27,0.010000000000000009,2.22,-0.010000000000000009,-0.72,-0.06999999999999995,-0.18000000000000005,-0.1,0
0,0,0,0,0,0,3,7.28,2.25,0.66,0.4,172.72,145.0,172.72,3.02,5.57,0.64,0.3,167.64,145.0,172.72,122,216,38,85,138,234,64,115,0,0,0,8,59,147,21,64,43,48,9,13,20,21,8,8,81,160,31,70,34,42,3,9,7,14,4,6,0.56,0.44,0.0,0.0,0.52,0.64,0.55,0.94,0.45,0.43,0.1,0.14,34.04791238877481,28.657084188911703,5.390828199863108,5.0800000000000125,0.0,0.0,4.26,0.07,-3.3200000000000003,0.21000000000000002,0.020000000000000018,0.45000000000000007,0.7999999999999999,0.10000000000000003,1
0,0,0,0,0,0,3,2.48,2.97,2.36,0.5,175.26,155.0,177.8,3.35,1.43,3.5,0.0,170.18,155.0,182.88,23,48,47,105,36,61,110,174,0,3,2,11,14,34,28,77,8,12,11,18,1,2,8,10,17,41,20,68,1,1,5,8,5,6,22,29,0.47,0.44,0.0,0.18,0.51,0.55,0.33,0.7,0.44,0.62,0.35,0.78,30.420260095824776,22.78986995208761,7.630390143737166,5.079999999999984,-5.079999999999984,0.0,-0.8700000000000001,0.07,1.5400000000000003,-0.06999999999999995,-1.1400000000000001,-0.019999999999999962,-0.08000000000000007,0.5,0
0,0,0,0,1,0,3,4.18,4.18,0.94,0.8,167.64,135.0,172.72,4.97,4.84,2.33,0.2,162.56,125.0,172.72,68,137,67,148,134,213,79,162,0,4,2,2,33,88,52,128,20,33,12,17,15,16,3,3,53,110,64,145,6,15,2,2,9,12,1,1,0.49,0.45,0.0,1.0,0.47,0.55,0.4,0.34,0.48,0.6,0.64,0.94,34.809034907597535,32.67898699520876,2.1300479123887754,5.079999999999984,0.0,10.0,-0.79,-0.010000000000000009,-0.6600000000000001,-0.04999999999999993,-1.3900000000000001,-0.24,-0.5999999999999999,0.6000000000000001,0
0,0,0,0,0,0,5,7.26,4.58,0.21,0.3,180.34,145.0,175.26,3.7,2.71,2.28,0.3,167.64,135.0,172.72,129,328,96,264,131,330,96,264,0,0,1,15,109,295,57,195,20,33,21,48,0,0,18,21,120,319,93,252,8,8,2,10,1,1,1,2,0.39,0.36,0.0,0.06,0.46,0.6,0.71,0.84,0.39,0.66,0.31,0.65,27.644079397672826,37.776865160848736,-10.13278576317591,12.700000000000017,2.539999999999992,10.0,3.5599999999999996,0.07,1.87,-0.06000000000000005,-2.07,0.39999999999999997,0.18999999999999995,0.0,1
0,1,0,0,0,0,3,4.3,3.39,0.94,0.9,165.1,125.0,170.18,3.38,3.35,1.57,2.4,165.1,125.0,172.72,61,151,67,113,68,160,71,117,2,10,2,3,41,122,53,98,9,14,12,13,11,15,2,2,48,131,46,78,13,19,11,19,0,1,10,16,0.4,0.59,0.2,0.66,0.47,0.53,0.35,0.68,0.56,0.5,0.5,0.61,29.27857631759069,31.60574948665298,-2.327173169062288,0.0,-2.539999999999992,0.0,0.9199999999999999,-0.09000000000000008,0.040000000000000036,0.030000000000000027,-0.6300000000000001,-0.15000000000000002,0.07000000000000006,-1.5,0
0,0,0,0,0,0,2,2.05,2.1,2.64,0.9,165.1,125.0,160.02,4.52,2.57,0.0,0.0,167.64,125.0,175.26,29,42,9,20,51,64,33,46,2,3,0,0,24,37,8,19,2,2,1,1,3,3,0,0,7,11,3,8,0,0,0,0,22,31,6,12,0.69,0.45,0.66,0.0,0.51,0.51,0.46,0.0,0.52,0.55,0.0,0.53,24.194387405886378,32.284736481861735,-8.090349075975357,-2.539999999999992,-15.23999999999998,0.0,-2.4699999999999998,-0.010000000000000009,-0.46999999999999975,-0.040000000000000036,2.64,0.46,-0.53,0.9,1
0,0,0,0,0,0,3,2.33,2.82,1.02,1.0,177.8,170.0,180.34,1.41,2.42,1.32,0.0,182.88,170.0,193.04,37,63,23,64,67,99,68,119,4,11,0,8,30,53,13,45,7,10,3,9,0,0,7,10,16,37,19,57,5,7,4,7,16,19,0,0,0.58,0.35,0.36,0.0,0.42,0.47,0.42,0.81,0.35,0.43,0.2,0.6,30.809034907597535,30.483230663928815,0.3258042436687205,-5.079999999999984,-12.699999999999989,0.0,0.9200000000000002,0.07,0.3999999999999999,0.03999999999999998,-0.30000000000000004,0.21999999999999997,0.21000000000000008,1.0,1
0,0,0,0,0,0,3,3.62,3.2,1.12,0.7,170.18,135.0,170.18,5.52,5.97,0.23,0.1,175.26,135.0,172.72,47,137,52,184,86,181,75,208,1,6,0,0,29,108,32,139,9,20,10,27,9,9,10,18,41,130,46,177,2,3,6,7,4,4,0,0,0.34,0.28,0.16,0.0,0.48,0.63,0.28,0.65,0.38,0.61,0.5,0.84,30.869267624914443,31.315537303216974,-0.4462696783025315,-5.079999999999984,-2.539999999999992,0.0,-1.8999999999999995,0.09999999999999998,-2.7699999999999996,0.020000000000000018,0.8900000000000001,-0.21999999999999997,-0.18999999999999995,0.6,1
0,0,0,0,0,0,5,3.49,3.22,1.93,0.6,172.72,155.0,177.8,2.56,2.03,1.35,0.4,187.96,170.0,187.96,81,169,92,215,129,219,113,244,0,5,3,10,41,115,72,189,17,25,14,20,23,29,6,6,81,168,77,195,0,1,12,14,0,0,3,6,0.47,0.42,0.0,0.3,0.46,0.61,0.37,0.58,0.47,0.55,0.3,0.7,34.729637234770706,27.901437371663246,6.828199863107461,-15.240000000000009,-10.159999999999997,-15.0,0.9300000000000002,-0.009999999999999953,1.1900000000000004,0.05999999999999994,0.5799999999999998,0.07,-0.12,0.19999999999999996,0
0,0,0,0,0,0,3,4.1,2.82,0.57,0.8,177.8,145.0,185.42,4.65,5.89,2.02,0.4,177.8,145.0,177.8,94,197,67,218,95,198,87,241,0,0,2,2,63,154,41,171,27,39,13,32,4,4,13,15,91,194,65,214,3,3,0,0,0,0,2,4,0.47,0.3,0.0,1.0,0.5,0.65,0.78,0.64,0.35,0.56,0.28,0.75,31.080082135523615,29.141683778234086,1.938398357289529,0.0,7.619999999999976,0.0,-0.5500000000000007,0.15000000000000002,-3.07,0.08999999999999997,-1.4500000000000002,0.5,-0.10999999999999999,0.4,1
0,0,0,0,0,0,3,3.57,3.81,1.6,0.0,175.26,155.0,182.88,3.11,2.56,1.09,0.6,175.26,155.0,177.8,25,91,25,52,26,92,28,55,0,1,0,0,9,53,13,33,13,33,11,18,3,5,1,1,25,90,24,51,0,0,1,1,0,1,0,0,0.27,0.48,0.0,0.0,0.35,0.59,0.38,0.62,0.44,0.6,0.46,0.61,26.798083504449007,40.903490759753595,-14.105407255304588,0.0,5.079999999999984,0.0,0.45999999999999996,-0.09000000000000002,1.25,-0.010000000000000009,0.51,-0.08000000000000002,0.010000000000000009,-0.6,1
0,1,0,0,0,0,1,4.13,3.31,0.26,0.7,190.5,155.0,193.04,4.95,4.92,0.72,0.3,182.88,155.0,190.5,7,23,22,41,7,23,22,41,0,0,0,0,2,16,13,24,0,1,0,3,5,6,9,14,7,23,19,38,0,0,0,0,0,0,3,3,0.3,0.53,0.0,0.0,0.39,0.6,0.33,0.57,0.48,0.51,0.34,0.79,32.40246406570842,29.429158110882955,2.9733059548254666,7.6200000000000045,2.539999999999992,0.0,-0.8200000000000003,-0.08999999999999997,-1.6099999999999999,0.08999999999999997,-0.45999999999999996,-0.010000000000000009,-0.22000000000000008,0.39999999999999997,0
0,1,0,0,0,0,1,3.47,3.85,2.38,2.4,187.96,240.0,203.2,2.95,3.43,0.3,0.1,195.58,250.0,195.58,1,3,4,7,1,3,4,7,0,0,0,0,0,1,2,5,1,1,2,2,0,1,0,0,1,3,2,5,0,0,0,0,0,0,2,2,0.33,0.57,0.0,0.0,0.5,0.44,0.46,0.33,0.38,0.54,0.28,0.72,42.0807665982204,36.10951403148528,5.971252566735117,-7.6200000000000045,7.619999999999976,-10.0,0.52,0.12,0.41999999999999993,-0.10000000000000003,2.08,0.18,-0.38999999999999996,2.3,0
0,0,0,0,0,0,3,3.48,2.83,0.47,0.3,190.5,240.0,195.58,3.55,4.57,0.63,0.3,193.04,265.0,198.12,152,263,70,177,160,272,75,183,0,0,0,1,103,204,55,155,34,43,9,16,15,16,6,6,152,263,70,176,0,0,0,1,0,0,0,0,0.57,0.39,0.0,0.0,0.44,0.57,0.36,0.78,0.41,0.46,0.33,0.69,40.45448323066393,37.75496235455168,2.6995208761122527,-2.539999999999992,-2.539999999999992,-25.0,-0.06999999999999984,0.030000000000000027,-1.7400000000000002,0.10999999999999993,-0.16000000000000003,0.02999999999999997,0.09000000000000008,0.0,1
0,0,0,0,0,0,1,4.83,3.12,0.21,0.0,195.58,265.0,203.2,7.09,4.06,0.91,0.0,195.58,265.0,203.2,36,38,3,7,36,38,3,7,0,0,0,1,35,36,3,7,1,2,0,0,0,0,0,0,5,7,3,7,0,0,0,0,31,31,0,0,0.94,0.42,0.0,0.0,0.5,0.56,0.33,0.8,0.55,0.34,0.66,0.57,30.976043805612594,27.50718685831622,3.4688569472963735,0.0,0.0,0.0,-2.26,-0.050000000000000044,-0.9399999999999995,0.22000000000000003,-0.7000000000000001,-0.33,0.2300000000000001,0.0,1
0,0,0,0,0,0,3,3.13,5.03,1.42,0.1,170.18,125.0,175.26,3.34,3.52,0.34,0.2,162.56,125.0,162.56,29,110,83,174,76,161,111,205,0,9,0,0,25,100,72,158,1,5,9,14,3,5,2,2,28,109,65,150,1,1,17,20,0,0,1,4,0.26,0.47,0.0,0.0,0.3,0.53,0.23,0.3,0.39,0.52,0.5,0.56,36.818617385352496,30.784394250513348,6.034223134839149,7.6200000000000045,12.699999999999989,0.0,-0.20999999999999996,-0.09000000000000002,1.5100000000000002,0.010000000000000009,1.0799999999999998,-0.27,-0.26000000000000006,-0.1,0
0,0,0,0,1,0,3,3.17,3.26,0.08,0.1,187.96,205.0,190.5,2.05,2.9,0.64,0.0,182.88,205.0,187.96,28,77,36,89,67,117,61,115,0,1,1,3,12,53,17,60,5,12,4,13,11,12,15,16,21,69,35,85,4,4,1,4,3,4,0,0,0.36,0.4,0.0,0.33,0.44,0.55,0.16,0.82,0.4,0.55,0.2,0.8,33.204654346338124,26.56810403832991,6.636550308008214,5.0800000000000125,2.539999999999992,0.0,1.12,0.03999999999999998,0.3599999999999999,0.0,-0.56,-0.04000000000000001,0.019999999999999907,0.1,0
0,0,1,0,1,0,3,2.04,3.69,2.0,1.3,182.88,135.0,185.42,1.13,3.0,2.0,1.0,172.72,135.0,175.26,11,21,23,42,69,89,92,132,2,5,2,8,5,12,15,31,4,6,6,9,2,3,2,2,5,14,9,14,6,7,7,14,0,0,7,14,0.52,0.54,0.4,0.25,0.5,0.42,0.42,0.75,0.42,0.32,0.25,0.34,29.53593429158111,25.30321697467488,4.232717316906232,10.159999999999997,10.159999999999997,0.0,0.9100000000000001,0.08000000000000002,0.69,0.09999999999999998,0.0,0.16999999999999998,0.41,0.30000000000000004,0
